s	width	allele counts	se_f	f	n	f_per_kb
-0.1	0.0	388.50410289276914	0.06441758619285483	1.0763179487179488	25	1.0763179487179488e-5
-0.1	0.0	475.5232237451433	0.06957997870638041	0.7684618556701027	25	7.684618556701027e-6
-0.1	0.0	582.0333289591675	0.05529748034675943	0.509634188034188	25	5.09634188034188e-6
-0.1	0.0	712.4001081403561	0.036088267620507694	0.3096827586206896	25	3.096827586206896e-6
-0.1	0.0	871.9671002105022	0.02497419617877966	0.20040681818181819	25	2.004068181818182e-6
-0.1	0.0	1067.2747170607029	0.01903167539156441	0.12001296296296297	25	1.2001296296296298e-6
-0.1	0.0	1306.3283252338515	0.01266253915875781	0.0761086792452831	25	7.61086792452831e-7
-0.1	0.0	1598.9263739030541	0.009500385286481255	0.05283839009287921	25	5.283839009287921e-7
-0.1	0.0	1957.062018620097	0.00800313346074674	0.04129168765743073	25	4.129168765743073e-7
-0.1	0.0	2395.4147027895547	0.006899182176590068	0.03350680412371129	25	3.3506804123711293e-7
-0.1	0.0	2931.9518460565623	0.006102626023857599	0.024875548060708262	25	2.487554806070826e-7
-0.1	0.0	3588.6653019135715	0.00555698306843744	0.02222943603851445	25	2.222943603851445e-7
-0.1	0.0	4392.472770819839	0.005693810209595591	0.017815523059617547	25	1.7815523059617547e-7
-0.1	0.0	5376.321116406638	0.0030874133456907107	0.01409990817263544	25	1.4099908172635442e-7
-0.1	0.0	6580.536808046029	0.002971404798442301	0.01182342342342342	25	1.182342342342342e-7
-0.1	0.0	8054.478842400569	0.00234233345759572	0.008959999999999997	25	8.959999999999998e-8
-0.1	0.0	9858.561894731161	0.002039168486491345	0.007031462925851701	25	7.031462925851702e-8
-0.1	0.0	12066.732625903607	0.0015762793391548788	0.006519197707736382	25	6.519197707736382e-8
-0.1	0.0	14769.500645207127	0.0013020980136033494	0.0046059511868940155	25	4.6059511868940154e-8
-0.1	0.0	18077.64836360904	0.0011354682182655718	0.004191147540983607	25	4.191147540983607e-8
-0.1	1.224744871391589	1	0	0	25	0
-0.1	1.224744871391589	1.106338589938541	3.5829316674105485	16.7608	25	1.67608e-4
-0.1	1.224744871391589	1.3541419226309606	0	0	25	0
-0.1	1.224744871391589	1.6574495035272516	0	0	25	0
-0.1	1.224744871391589	2.0286934558567684	1.7218577176991134	11.9176	25	1.1917600000000001e-4
-0.1	1.224744871391589	2.4830905129101035	0	0	25	0
-0.1	1.224744871391589	3.0392657291341303	1.5691587979976194	6.7848	25	6.7848e-5
-0.1	1.224744871391589	3.720015893203823	0.9958455368847788	6.032	25	6.032e-5
-0.1	1.224744871391589	4.5532439342286635	0.8379622107629119	4.4384	25	4.4383999999999994e-5
-0.1	1.224744871391589	5.573102621003827	0.776325318407174	4.0032	25	4.0032e-5
-0.1	1.224744871391589	6.821394432824586	0.7351530452905708	3.2	25	3.2000000000000005e-5
-0.1	1.224744871391589	8.349284980470902	0.649695633867634	2.7274	25	2.7273999999999997e-5
-0.1	1.224744871391589	10.21940020792074	0.6162668523726822	2.2034000000000002	25	2.2034000000000003e-5
-0.1	1.224744871391589	12.508393335947712	0.5757489325507545	1.8258	25	1.8258e-5
-0.1	1.224744871391589	15.310086762774377	0.5416064240004161	1.6090666666666666	25	1.6090666666666665e-5
-0.1	1.224744871391589	18.739317703580973	0.47852089818523075	1.3152	25	1.3151999999999999e-5
-0.1	1.224744871391589	22.936645195870106	0.3913259170222864	1.09616	25	1.09616e-5
-0.1	1.224744871391589	28.074111403783828	0.26699160758068513	0.9192	25	9.192000000000001e-6
-0.1	1.224744871391589	34.362293368603815	0.2787105025249086	0.7909714285714285	25	7.909714285714286e-6
